BU	SEG_OFICIAL	CARTEIRA	PORTFOLIO	TOP_BS_OP	CANAL	PRODUTO	MEIO_PAGO	TIPO_CREDITO	PARCELA_AGROUP	P&L	202501	202502	202503	202504	202505	202506	202507	202508	202509	202510	202511	202512	202601	202602	202603	202604	202605	202606	202607	202608	202609	202610	202611	202612
POINT	LONGTAIL	-	LEGADO	-	TTP	TTP	bank_transfer	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	LONGTAIL	-	LEGADO	-	TTP	TTP	ticket	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	LONGTAIL	-	LEGADO	-	TTP	TTP	others	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	979116	1050410	1025900	1064255	1055767	1026343	1029904	1053823	1101902
POINT	LONGTAIL	-	LEGADO	-	TTP	TTP	digital_currency	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POINT	LONGTAIL	-	LEGADO	-	TTP	TTP	debit_card	-	-	TPV	37.849.601,01	36.903.184,88	41.093.374,35	40.216.693,15	44.009.145,17	43.196.719,40	43.090.840,10	41.759.251,14	39.081.893,68	37.764.711,60	25.642.322,64	28.140.828,81	99046697	92538477	95846520	103049365	110552852	107973236	112010027	111116666	108019847	108394621	110912041	115972211
POINT	LONGTAIL	-	LEGADO	-	TTP	TTP	credit_card	1x	1x	TPV	197.159.115,20	195.020.330,10	206.001.291,20	198.463.406,90	209.484.129,00	201.383.226,20	206.227.482,00	200.335.124,30	189.085.221,50	186.641.759,10	137.973.123,96	119.366.911,83	449723438	441562097	466984115	471015133	505311862	493521022	511972275	507888926	493734074	495447078	506953632	530082514
POINT	LONGTAIL	-	LEGADO	-	TTP	TTP	credit_card	PCJ	2 a 6x	TPV	70.980.705,48	66.187.207,07	68.350.880,51	63.560.241,93	44.926.042,98	57.078.089,85	57.936.696,90	55.190.963,94	51.725.107,83	49.405.867,91	34.035.295,88	29.735.057,97	133256317	127399922	132778631	138651496	148747335	145276497	150707944	149505939	145339212	145843465	149230619	156039008
POINT	LONGTAIL	-	LEGADO	-	TTP	TTP	credit_card	PCJ	7 a 12x	TPV	43.577.412,15	40.552.912,47	39.420.775,48	38.764.146,45	26.285.760,31	32.323.404,30	34.051.811,03	32.568.712,23	30.140.960,65	28.311.299,54	21.008.885,26	18.518.113,09	85803243	80586633	84597654	87519226	93891895	91701041	95129465	94370738	91740628	92058921	94196952	98494524
POINT	LONGTAIL	-	LEGADO	-	TTP	TTP	credit_card	PCJ	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	58.413,18	0	0	0	156957	1301494	1396262	1363682	1414666	1403382	1364270	1369004	1400798	1464707
POINT	LONGTAIL	-	LEGADO	-	TTP	TTP	credit_card	PSJ	2 a 6x	TPV	66.184.417,93	68.683.139,80	71.827.518,82	71.670.224,18	96.047.723,51	83.064.695,47	90.555.530,22	88.695.773,86	89.825.534,30	88.696.757,94	62.911.217,64	56.473.373,86	199529778	198515731	218232727	215754275	231464314	226063375	234515198	232644770	226160966	226945628	232216347	242810816
