SUM de VALUE_AMOUNT										YEARMONTH_ID																							
BU	SEGMENT_DESC	PRODUCT_DESC	BALANCE_SHEET_PORTFOLIO_DESC	PORTFOLIO_DESC	PAYMENT_METHOD_DESC	INSTALLMENT_NUMBER_AGROUP	VERSION_DESC	DEVICE_TAP_TYPE	CHANNEL_DESC	202501	202502	202503	202504	202505	202506	202507	202508	202509	202510	202511	202512	202601	202602	202603	202604	202605	202606	202607	202608	202609	202610	202611	202612
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	ticket	-	FORECAST 4+8		-																	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	-	BS Sin Tag	-	ticket	-	PLANO V5		-													0	0	0	0	0	0	0	0	0	0	0	0
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT		AQUISICAO	bank_transfer	-	ACTUAL					865	3.412	9.137	3.267	9.860	1.939	6.606	1.586	5.369													
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT		AQUISICAO	credit_card	1x	ACTUAL				128	87	207	696	207		5	128	2.445				1										
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT		AQUISICAO	credit_card	1x	FORECAST 3+9																1										
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT		AQUISICAO	credit_card	1x	FORECAST 4+8																1										
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT		AQUISICAO	credit_card	2 a 6x	ACTUAL						9.240	128	171																		
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT		AQUISICAO	credit_card	7 a 12x	ACTUAL						7.718	2.657	4.720		11.549	14.787	6.550	1.634													
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT		AQUISICAO	ticket	-	ACTUAL						1.534	1.834	3.889				2.141	1.322													
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT		LEGADO	account_money	-	ACTUAL			11.502	4.229	6.350	2.917																				
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT		LEGADO	bank_transfer	-	ACTUAL			86.223	49.722	51.648	50.569	85.113	89.103	56.079	64.406	51.343	69.689	87.351	84.681				1.306	247							
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT		LEGADO	bank_transfer	-	FORECAST 4+8																		1.306								
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT		LEGADO	credit_card	1x	ACTUAL			12.557	10.350	7.964	8.524	3.248	2.864	2.713	1.788	2.923	4.704	5.960	2.490				840								
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT		LEGADO	credit_card	1x	FORECAST 4+8																		840								
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT		LEGADO	credit_card	2 a 6x	ACTUAL			50.310	40.726	15.381	25.619	41.294	42.161	21.670	32.117	36.379	41.016	54.321	47.380				1.058								
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT		LEGADO	credit_card	2 a 6x	FORECAST 4+8																		1.058								
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT		LEGADO	credit_card	7 a 12x	ACTUAL			202.123	103.103	82.826	79.708	178.752	133.603	102.431	170.914	141.711	143.918	185.388	180.963												
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT		LEGADO	digital_currency	-	ACTUAL			1.099	399																						
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING		bank_transfer	-	ACTUAL															313.710	241.474	311.566	304.749								
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING		bank_transfer	-	FORECAST 3+9															313.710	241.474	311.566									
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING		bank_transfer	-	FORECAST 4+8															313.710	241.474	311.566	304.749								
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING		credit_card	1x	ACTUAL															130.506	110.685	120.415	87.283								
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING		credit_card	1x	FORECAST 3+9															130.506	110.685	120.415									
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING		credit_card	1x	FORECAST 4+8															130.506	110.685	120.415	87.283								
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING		credit_card	2 a 6x	ACTUAL															496.433	347.592	596.557	503.312								
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING		credit_card	2 a 6x	FORECAST 3+9															496.433	347.592	596.557									
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING		credit_card	2 a 6x	FORECAST 4+8															496.433	347.592	596.557	503.312								
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING		credit_card	7 a 12x	ACTUAL															33.653	15.724	33.389	28.832								
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING		credit_card	7 a 12x	FORECAST 3+9															33.653	15.724	33.389									
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING		credit_card	7 a 12x	FORECAST 4+8															33.653	15.724	33.389	28.832								
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING		prepaid_card	-	ACTUAL																		438								
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING		prepaid_card	-	FORECAST 4+8																		438								
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING	AQUISICAO	account_money	-	ACTUAL			260	1.470	1.745	3.242	30.248	45.017	45.709	53.479	42.737	49.356	50.255	45.768		13.247	6.755	261.217								
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING	AQUISICAO	account_money	-	FORECAST 3+9																13.247	6.755									
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING	AQUISICAO	account_money	-	FORECAST 4+8																13.247	6.755	261.217								
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING	AQUISICAO	bank_transfer	-	ACTUAL			184.820	833.879	1.385.131	3.138.744	6.176.757	6.212.663	7.949.816	8.702.034	10.475.111	18.374.997	21.621.987	20.446.241	267.646	1.016.434	3.108.518	66.117.617	1.028.977							
ONLINE PAYMENTS	BIG SELLERS	CHECKOUT	BS FARMING	AQUISICAO	bank_transfer	-	FORECAST 3+9															267.646	1.016.434	3.108.518									
