MES	CARTEIRA	PRODUTO	CANAL	SUB_CANAL	MOP	SUM de TPV
202406	AQUISICAO	POINT	RESELLERS		ACCOUNT_MONEY	9544170,28
202406	AQUISICAO	POINT	RESELLERS		CREDIT_CARD	73195423,72
202406	AQUISICAO	POINT	RESELLERS		DEBIT_CARD	64648024
202406	AQUISICAO	POINT	TELEVENDAS		ACCOUNT_MONEY	7981055,34
202406	AQUISICAO	POINT	TELEVENDAS		CREDIT_CARD	44396879,65
202406	AQUISICAO	POINT	TELEVENDAS		DEBIT_CARD	37467951
202406	AQUISICAO	QR			ACCOUNT_MONEY	63672439
202406	AQUISICAO	QR			CREDIT_CARD	2884995,41
202406	AQUISICAO	QR			DEBIT_CARD	458,38
202406	AQUISICAO	QR			PIX	416121617
202406	AQUISICAO	TAP			CREDIT_CARD	187216458,6
202406	AQUISICAO	TAP			DEBIT_CARD	12430278
202406	ENGAGEMENT	OP - CHECKOUT			ACCOUNT_MONEY	8176983,89
