BU	SEG_OFICIAL	CARTEIRA	PORTFOLIO	TOP_BS_OP	CANAL	PRODUTO	MEIO_PAGO	TIPO_CREDITO	PARCELA_AGROUP	P&L	202501	202502	202503	202504	202505	202506	202507	202508	202509	202510	202511	202512	202601	202602	202603	202604	202605	202606	202607	202608	202609	202610	202611	202612
QR SELLERS	SMB	-	LEGADO	-	-	QR SELLERS	credit_card	PSJ	7 a 12x	TPV	350.551,78	258.541,03	302.294,65	359.241,15	375.539,98	212.373,56	406.386,76	321.229,19	173.257,63	406.479,08	263.621,03	248.898,57	77.957,78	89.337,57	129.129,05	245.103,80	250.412,81	235.949,28	254.056,25	256.619,04	238.200,98	251.182,64	256.003,84	303.354,63
QR SELLERS	SMB	-	LEGADO	-	-	QR SELLERS	credit_card	PSJ	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00
QR SELLERS	SMB	-	LEGADO	-	-	QR SELLERS	credit_card	PNF	1x	TPV	21.719,13	22.987,24	25.293,88	23.961,24	23.273,10	21.913,25	44.283,18	36.834,61	35.403,66	37.955,46	29.923,26	41.951,99	36.384,12	32.153,11	33.581,12	42.589,89	43.470,86	40.920,73	43.904,72	44.276,26	41.097,23	43.321,08	44.030,80	51.950,18
QR SELLERS	SMB	-	LEGADO	-	-	QR SELLERS	credit_card	PNF	2 a 6x	TPV	17.224,82	16.679,28	21.118,34	15.060,83	18.648,59	15.027,42	16.285,18	12.763,18	9.634,75	8.842,97	10.360,01	15.237,55	10.278,15	10.135,77	11.436,50	12.731,23	12.956,46	12.160,38	12.903,72	12.947,25	12.016,51	12.652,13	12.747,04	14.831,94
QR SELLERS	SMB	-	LEGADO	-	-	QR SELLERS	credit_card	PNF	7 a 12x	TPV	7.335,26	8.511,46	18.499,77	18.301,60	11.373,11	22.325,54	18.586,69	10.410,33	16.900,08	14.497,54	12.913,87	7.650,60	18.109,97	11.879,75	12.935,46	15.742,45	16.092,81	15.172,23	16.371,98	16.553,31	15.365,52	16.206,54	16.545,18	19.656,32
QR SELLERS	SMB	-	LEGADO	-	-	QR SELLERS	credit_card	PNF	Maior que 12x	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QR SELLERS	BIG SELLERS	BS HUNTING	-	-	-	QR SELLERS	account_money	-	-	TPV	193.915,77	276.595,52	451.866,92	597.687,42	738.064,37	849.941,62	1.106.793,91	1.249.946,66	1.614.747,11	1.993.398,20	2.446.928,15	2.741.733,68	2.274.870,12	2.372.991,64	2.594.037,05	2.793.157,00	3.356.141,00	3.997.698,00	4.629.153,00	5.252.546,00	5.763.379,00	6.522.050,00	8.248.055,00	9.424.260,00
QR SELLERS	BIG SELLERS	BS HUNTING	-	-	-	QR SELLERS	bank_transfer	-	-	TPV	4.208.206,52	4.984.481,87	6.619.789,55	8.404.820,37	10.364.128,21	11.789.445,67	14.711.833,70	17.139.433,59	19.759.246,61	24.813.654,88	30.367.581,52	34.093.201,38	9.744.117,81	15.387.186,07	24.941.337,73	26.909.741,00	32.333.621,00	38.514.493,00	44.598.031,00	50.603.905,00	55.525.358,00	62.834.521,00	72.972.361,00	83.785.631,00
QR SELLERS	BIG SELLERS	BS HUNTING	-	-	-	QR SELLERS	ticket	-	-	TPV	0	0	0	0	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0,00	0	0	0	0	0	0	0	0	0
QR SELLERS	BIG SELLERS	BS HUNTING	-	-	-	QR SELLERS	consumer_credits	-	-	TPV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
